top - 22:44:57 up  7:27,  1 user,  load average: 0.53, 0.32, 0.19
Tasks: 231 total,   1 running, 225 sleeping,   5 stopped,   0 zombie
%Cpu(s): 10.7 us,  7.1 sy,  0.0 ni, 75.0 id,  0.0 wa,  0.0 hi,  7.1 si,  0.0 st 
MiB Mem :   6739.2 total,   1911.7 free,   2184.7 used,   2403.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   4554.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3913 ganesh    20   0  448392  50892  38900 S   0.0   0.7   0:00.52 Utility+
   4383 ganesh    20   0 2435044  79104  62132 S   0.0   1.1   0:51.58 Isolate+
   4805 ganesh    20   0  565320  55440  43412 S   0.0   0.8   0:14.94 gnome-t+
   4812 ganesh    20   0   19940   5332   3924 S   0.0   0.1   0:01.62 bash
   5311 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5399 root      20   0  603388  42344  36424 S   0.0   0.6   0:05.09 fwupd
   6270 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6486 root      20   0       0      0      0 I   0.0   0.0   0:02.31 kworker+
   6790 ganesh    20   0 2434584  85692  68444 S   0.0   1.2   0:24.20 Isolate+
   6815 ganesh    20   0 2463268 109056  78012 S   0.0   1.6   0:24.99 Isolate+
   6853 root      20   0       0      0      0 I   0.0   0.0   0:01.65 kworker+
   8292 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
   8605 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
   8948 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8967 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
   8968 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   9110 root      20   0       0      0      0 I   0.0   0.0   0:07.49 kworker+
   9177 root       0 -20       0      0      0 I   0.0   0.0   0:00.69 kworker+
   9261 root      20   0       0      0      0 I   0.0   0.0   0:01.56 kworker+
   9826 root      20   0       0      0      0 I   0.0   0.0   0:03.20 kworker+
   9881 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
   9970 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   9981 root      20   0       0      0      0 I   0.0   0.0   0:01.32 kworker+
  10074 ganesh    20   0 2450656  98516  77360 S   0.0   1.4   0:00.99 Isolate+
  10128 root       0 -20       0      0      0 I   0.0   0.0   0:00.50 kworker+
  10171 ganesh    20   0 2434596  86384  69648 S   0.0   1.3   0:01.76 Isolate+
  10238 ganesh    20   0 2424216  69148  54332 S   0.0   1.0   0:02.17 Web Con+
  10258 root       0 -20       0      0      0 I   0.0   0.0   0:00.41 kworker+
  10314 ganesh    20   0 2424216  69016  54328 S   0.0   1.0   0:01.84 Web Con+
  10370 root      20   0       0      0      0 I   0.0   0.0   0:00.88 kworker+
  10429 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10440 ganesh    20   0 2424216  69012  54324 S   0.0   1.0   0:00.13 Web Con+
  10603 root      20   0       0      0      0 I   0.0   0.0   0:00.39 kworker+
  10809 ganesh    20   0   19940   3320   1684 T   0.0   0.0   0:00.00 bash
  10810 ganesh    20   0   43016  15784   9128 T   0.0   0.2   0:00.03 command+
  10946 ganesh    20   0   19940   3320   1684 T   0.0   0.0   0:00.00 bash
  10947 ganesh    20   0   44796  20932  12740 T   0.0   0.3   0:00.04 command+
  10948 ganesh    20   0 1615896  16856  11736 T   0.0   0.2   0:00.01 snap
  11444 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11518 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11568 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11569 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11623 ganesh    20   0 2882056  61172  46780 S   0.0   0.9   0:00.53 gjs
  11670 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
  11823 ganesh    20   0   23172   5568   3520 S   0.0   0.1   0:00.03 top

top - 22:44:59 up  7:27,  1 user,  load average: 0.53, 0.32, 0.19
Tasks: 231 total,   1 running, 225 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0.8 us,  1.2 sy,  0.0 ni, 95.2 id,  0.0 wa,  0.0 hi,  2.8 si,  0.0 st 
MiB Mem :   6739.2 total,   1911.7 free,   2184.7 used,   2403.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   4554.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2001 ganesh    20   0 4601368 447708 157444 S   5.0   6.5   5:02.04 gnome-s+
   3380 ganesh    20   0 3047180 454688 113000 S   1.5   6.6   8:19.95 Isolate+
   4805 ganesh    20   0  565320  55440  43412 S   1.0   0.8   0:14.96 gnome-t+
   2121 ganesh    20   0  397504  12228   7072 S   0.5   0.2   0:03.89 ibus-da+
   2982 ganesh    20   0   11.6g 760060 222116 S   0.5  11.0  12:27.44 firefox
   3368 ganesh    20   0 2471144 109340  67752 S   0.5   1.6   2:12.68 Isolate+
  10171 ganesh    20   0 2434596  86384  69648 S   0.5   1.3   0:01.77 Isolate+
  10603 root      20   0       0      0      0 I   0.5   0.0   0:00.40 kworker+
  11823 ganesh    20   0   23172   5568   3520 S   0.5   0.1   0:00.04 top
